Address,manually labeled proxy(yes/no),detection(yes/no)
0x522bb024c339a12be1a47229546f288c40b62d29,yes,yes
0x692f4fc86cbac6d6b9cca4039405317445a4f98c,yes,yes
0x717bcd3a04ccf7656368d3bab07bc678b4de1b52,yes,yes
0x768be5c3ec558c16b10bd35d4b3e3800b7032ea2,yes,yes
0x844be1f096894d3bfc44640dc2875ca3c7f20827,yes,yes
0x866f10e305f01d829dea993bac71ffc5a76efa06,yes,yes
0x6582a5b139fc1c6360846efdc4440d51aad4df7b,yes,yes
0x6615e67b8b6b6375d38a0a3f937cd8c1a1e96386,yes,yes
0x6778cd0602afba246cd54c1e3c6d8e136bb31211,yes,yes
0x8646d53a8fe7bb05dc5fcf76c5dd8d2a138e195d,yes,yes
0x8751d4196027d4e6da63716fa7786b5174f04c15,yes,yes
0x8879d700aedd31c4f69bb9860bab7991403c09d8,yes,yes
0x55912d0cf83b75c492e761932abc4db4a5cb1b17,yes,yes
0x155482d1e2cb0909333326504f0ea4350760c927,yes,yes
0x353200ed9f63fa7804816b336d50e9f0d7c88d2c,yes,yes
0xb9a6ff1072110cdee95d9368e9e71fcb128bdd53,yes,yes
0xb97a89c5ac5bf4186a705d67b87711b3bf458e1f,yes,yes
0xbc16bcb59fa93aa0825ab2618d93e9449eb44246,yes,yes
0xbcd8ba681881650c1a10471227892ed223ffb276,yes,yes
0xbde7bd6a4da5c972532ad8a973deb67d36be8d35,yes,yes
0xbe08ef12e4a553666291e9ffc24fccfd354f2dd2,yes,yes
0xc2e9678a71e50e5aed036e00e9c5caeb1ac5987d,yes,yes
0xc014c026d92c03cd3a8fdee6f2cafdc9254f5c9f,yes,yes
0xca4b98ca964713287a36224364dbed15c9b7abc3,yes,yes
0xca8d787f741e6dc35dd2e4b7f8002c638464fc7f,yes,yes
0xcaed73bcdd45d2469b1287a7c21d7a31b2bb7b35,yes,yes
0xcd6f280e766b5017a270bc657526bbefc1239c9f,yes,yes
0xf1ded284e891943b3e9c657d7fc376b86164ffc2,yes,yes
0xf349c0faa80fc1870306ac093f75934078e28991,yes,yes
0xf4146a176b09c664978e03d28d07db4431525dad,yes,yes
0xf9512aaa68ee8ea73c2244e9f75202ff022d0ef1,yes,yes
0xf188370a51e0713457c8b72c114bc522be348682,yes,yes
0xfa9b7e3bd77f5aef4e305cacc2847f83e68bd7e6,yes,yes
0xfbddadd80fe7bda00b901fbaf73803f2238ae655,yes,yes
0xcda72070e455bb31c7690a170224ce43623d0b6f,yes,yes
0xce7508ec8638c85dd0173164fec47fa705d0e57e,yes,yes
0xcf6e61fe1cb37e83cb590eaee57d660089748077,yes,yes
0xd71ac3c4484da01c6a577506e6c85f310a8867a4,yes,yes
0xdbda6fa60c48a7da8e0c7ae25a20fd089c0f6a1f,yes,yes
0xe1e546e25a5ed890dff8b8d005537c0d373497f8,yes,yes
0xe1406825186d63980fd6e2ec61888f7b91c4bae4,yes,yes
0xfccba70c8c9ae907fbabfd52d7c3db5b938fd4d8,yes,yes
0xff26f400e57bf726822eacbb64fa1c52f1f27988,yes,yes
0x2d641867411650cd05db93b59964536b1ed5b1b7,yes,yes
0x9923263fa127b3d1484cfd649df8f1831c2a74e4,yes,yes
0xdb2382413bcb9c2f1b6b62b52238558266361d68,yes,yes
0xd092f354f7170984d406c15e091f56853d0e29bf,yes,yes
0x86c85a9bf5deafded40d9c70517883d95f50df03,yes,yes
0x56746a8099a7e6d962802a23e01feddc1282cdae,yes,yes
0xbe0e1ffecf8621191096f76d12439595234f8b38,yes,yes
0xfd9c2b86f71c1484bc51f97bd9e323cb2cd475c9,yes,yes
0x3a6a6c89be2db6e8e938156cb42c41551a53bec5,yes,yes
0x4cffc147f4e5d6227d3adba93bba7d8bba124ba5,yes,yes
0x73fddfb941c11d16c827169bb94acc227841c396,yes,yes
0x464c71f6c2f760dda6093dcb91c24c39e5d6e18c,yes,yes
0x5191d56fd4568379932bbf2321ba978072fac24e,yes,yes
0xfb87c9e3874870e339b6538a89ab03569aeb8be7,yes,yes
0xbe7e6a7cd3bebc1776e64e988bd1518aa3ad29a4,yes,yes
0x0a62cc5ebfa79b155b4ec90e74c00e0176692772,yes,yes
0x0c41a8613fbefcc8d6e5df1020dbb336f875247f,yes,yes
0x1c0b9c1995ea61f8fb505e4d94aa32b0c024899e,yes,yes
0x2c9e7a3009f4a1c289a3608067d6f13a39e362d6,yes,yes
0x2dcf322d66cb77a05f66fdff93e3678df7e44dea,yes,yes
0x3d8b8d4ad81acf56e44ddee068930d8860b4ef71,yes,yes
0x4d77686ec56b2704707306bad1078297bbf6fbc8,yes,yes
0x5cd06410e6e9469520cfde70e1b7f5aa1bc46eb7,yes,yes
0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,yes,yes
0x7c175a3fd4d2f14e40ac418a1e004dfc8edd3ba8,yes,yes
0x7fa7df4996ac59f398476892cfb195ed38543520,yes,yes
0x7fc3ec3574d408f3b59cd88709bacb42575ebf2b,yes,yes
0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,yes,yes
0x8db1d28ee0d822367af8d220c0dc7cb6fe9dc442,yes,yes
0x26b8efa69603537ac8ab55768b6740b67664d518,yes,yes
0x37e9971f30c1354f3391c415dbd642e2b27c7c6f,yes,yes
0x53aa48b2ac0071a6ce61ddb3ba4e41d395b2db51,yes,yes
0x55bf8304c78ba6fe47fd251f37d7beb485f86d26,yes,yes
0x74f0ef73242c32375dda80e8c45af1d463916d1a,yes,yes
0x79f78e3c06be03cb6c459eadfd8ab9f080e0c40b,yes,yes
0x91df0ffc1b95113ba1f41ca0669fccaec0f55876,yes,yes
0x187e8e5c70457c756a5779aeb2227ef098bca776,yes,yes
0x247b6b13ad67d9c795a25c1d9a6c3857166e4b1a,yes,yes
0x253f7b06c1d60c1fbbc9d82c301327eb86e3ba81,yes,yes
0x555ddd7c3999010cff0ae3671d31cb376fa638f0,yes,yes
0x567c268a3af060088e53f6487872eb7d31dffa4f,yes,yes
0x599d92b453c010b1050d31c364f6ee17e819f193,yes,yes
0x736b93accd72d87d0dca59fc381f0196ebba0d9b,yes,yes
0x1337def1670c54b2a70e590b5654c2b7ce1141a2,yes,yes
0x6352a56caadc4f1e25cd6c75970fa768a3304e64,yes,yes
0x6511d8686eb43eac9d4852458435c1bec4d67bc6,yes,yes
0x46262af08d6b795efb08b4a6e486208f889e0c60,yes,yes
0x71535ad4c7c5925382cdeadc806371cc89a5085d,yes,yes
0x946969e5347cf4f7a251829b12b7ecae911db4a1,yes,yes
0x1348376f7731ba1f538fc59e3dd391a14815d01c,yes,yes
0x5593143eae5000983bb015b2e0ac35c125b3376c,yes,yes
0xa01b656e49efbb8210d882a1f1a4d10f5cada8cc,yes,yes
0xa8acec8cb32e6dc14fc4dbc4d218f4cea5b90fe0,yes,yes
0xaaad6414d2008e0fba776dd7db89f041d164f1c4,yes,yes
0xaeeac2e7a0e2b927b74e9080acadb936437088dd,yes,yes
0xb09c0a4469b862c51391d85c5a4f64db41a3c7d3,yes,yes
0xb08fe5debb2838d9f4a91132c3a87678007da9a3,yes,yes
0xb9fb8a22908c570c09a4dbf5f89b87f9d91fbf4a,yes,yes
0xba5ebaf3fc1fcca67147050bf80462393814e54b,yes,yes
0xcd55262c3ea354a58661597f71037d5fa26b72bd,yes,yes
0xd5df2a8b6dcc3e4730703a9c1d65c4cf8d591337,yes,yes
0xd85ac522a67666bdc625d91051bd7aa6a1d91ebe,yes,yes
0xd409c506742b7f76f164909025ab29a47e06d30a,yes,yes
0xd897b5458afe7e2dc26d94ec33cf7d09a9158568,yes,yes
0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,yes,yes
0xd42e3efdd5714fdddf93c48e992314d09b91d298,yes,yes
0xe6f7261b13ea6afb39a5dc98ff1a652761bb42ae,yes,yes
0xed6ff6254e5b0c57de2389a19c1a09cad16fe318,yes,yes
0xea8567d84e3e54b32176418b4e0c736b56378961,yes,yes
0xfb03559227dd73e82008a6952eccbba5088c16d8,yes,yes
0x0baba1ad5be3a5c0a66e7ac838a129bf948f1ea4,yes,yes
0x0cb9dab71dd14951d580904825e7f0985b29d375,yes,yes
0x5d584344246c59231be750865cccab27309e1bfd,yes,yes
0x95a28a02ffb969e48b78554777f223445661fb9f,yes,yes
0x6325d247696d39ee59ffd931a87e022a68bbbe4f,yes,yes
0x8551fe601a77b80572d69278ef0cf046356093da,yes,yes
0x3451692a426899f363fe43193aa2f30fad068296,yes,yes
0xae9564269b75f67510bf20a512632869e3d42217,yes,yes
0xb0b3e52e432b80d3a37e15ab6bbf4673225e160f,yes,yes
0xfbced1b6baf244c20ae896baac1d74d88c6e0cd5,yes,yes
0xdff92dcc99150df99d54bc3291bd7e5522bb1edd,yes,yes
0xc8f1999009f6cb7d712a25ca219e0ff2a9ea0290,yes,yes
0xb8434f35f15808d45b8285cd4d59cd94894d385d,yes,yes
0x9a6e7ddff15bbba5e2b464677bd1dd06512e7e00,yes,yes
0x2f5fa2759d7a428435530dc497d01621e1aee9f6,yes,yes
0x0fd10b9899882a6f2fcb5c371e17e70fdee00c38,yes,yes
0x4a33e0123e59a5874955b469ab2c0b626bbf3670,yes,yes
0x4f8e0c546e0d0188e0d8107a4709482b4796a100,yes,yes
0x5b56d9679532024513e938feba7851d1b3f6070e,yes,yes
0x0062bb52986ebeae585898e63667d9d760ff75a0,yes,yes
0x78a7f7929219c88b8e8265ae606981d8a3056ad6,yes,yes
0x93bf14c7cf7250b09d78d4eadfd79fca01bad9f8,yes,yes
0x239a883df042b1480e9230082697c67c1afaa46d,yes,yes
0x0966a53f2533eaf01d0bb2fa0e2274f3002287f1,yes,yes
0x05658a207a56aa2d6b2821883d373f59ac6a2fc3,yes,yes
0x43873edf7de0162bf985b3e6c6d0bbdd63682768,yes,yes
0x85543da0db5cf305f0522f0be2edaa105c72b0cf,yes,yes
0x91410a819cc37d80b1a6d5459e260b52362d8625,yes,yes
0x742133180738679782538c9e66a03d0c0270ace8,yes,yes
0xa2917335574033a8ebb4251c8f6a6d10e3f2bd56,yes,yes
0xc2dae17ba362fc4282363f4cdbd03ba2a43257cd,yes,yes
0xc013a3b36b5655a00dcbee15ee9a6d59802fb7c3,yes,yes
0xd626547ec8f44e7075f36091e7fd898af4342ee6,yes,yes
0xed7c1848fa90e6cda4faac7f61752857461af284,yes,yes
0xf38a689712a6935a90d6955ed6b9d0fa7ce7123e,yes,yes
0x9c32185b81766a051e08de671207b34466dd1021,yes,yes
0xcf4e2ccb2806ad3cef69e0cb5376d3cbc1ff2804,yes,yes
0x5e3646a1db86993f73e6b74a57d8640b69f7e259,yes,yes
0x5f0366c9962193fa774cdce9602195593b49f23c,yes,yes
0x6c187c6c82e41bb9976ff3d0fe0794e8c48c5da5,yes,yes
0x8c0c88b15c76ea17d47e3df61a37d761b3bbb9f0,yes,yes
0x9a1fc8c0369d49f3040bf49c1490e7006657ea56,yes,yes
0x9c459eeb3fa179a40329b81c1635525e9a0ef094,yes,yes
0x96d1e9d25bd949b6811e2844aca63cb3cfce68af,yes,yes
0x945facb997494cc2570096c74b5f66a3507330a1,yes,yes
0x77648a2661687ef3b05214d824503f6717311596,yes,yes
0xd769540991c9343d53ed90f71b38f64056a7bc57,yes,yes
0xf3c384b9321abd6c0a6cbd1fddf97d4b125c6b81,yes,yes
0xefce2a7f7314dfbb01a3db3a6501d0af49419925,yes,yes
0xf955c57f9ea9dc8781965feae0b6a2ace2bad6f3,yes,yes
0xd4b2657f2efffac2a146bedad962f00682e04f4f,yes,yes
0x4f6103bad230295bacf30f914fda7d4273b7f585,yes,yes
0x48c59199da51b7e30ea200a74ea07974e62c4ba7,yes,yes
0x444dbcb15ea0d706c04dab615374a11759e07a25,yes,yes
0x2a54a157c4d3468ec71fa836f3ea55ae79ebd0f6,yes,yes
0x3e6ae87673424b1a1111e7f8180294b57be36476,yes,yes
0x19bc15849b392519a9a9131df32c00cc3497892d,yes,yes
0x1337def131dc32b6417b392b6c7047b99e702f7c,yes,yes
0x1643e812ae58766192cf7d2cf9567df2c37e9b7f,yes,yes
0x109533f9e10d4aeef6d74f1e2d59a9ed11266f27,yes,yes
0x1565616e3994353482eb032f7583469f5e0bcbec,yes,yes
0xa2f987a546d4cd1c607ee8141276876c26b72bdf,yes,yes
0xab55bf4dfbf469ebfe082b7872557d1f87692fe6,yes,yes
0xb9d7934878b5fb9610b3fe8a5e441e8fad7e293f,yes,yes
0xde97e5a2fae859ac24f70d1f251b82d6a9b77296,yes,yes
0xeccd8639ea31fafe9e9646fbf31310ec489ad1c8,yes,yes
0xbdb4d10997185ed3cbd8a56f6f65a30d58a01384,yes,yes
